ID;Bibl. Eintrag;Schranknummer - Praun'scher Katalog;Rang - Praun'scher Katalog;Titelreihenfolge - Praun'scher Katalog;Systemtische Zuordnung - Praun'scher Katalog;Imagez‰hlung Digitalisat - Praun'scher Katalog;Katalogseitenz‰hlung- Praun'scher Katalog;Katalogeintrag Praun'scher Katalog;Erg‰nzungen zum Katalogeintrag - Praun'scher Katalog;PPN-Nummer Manifestationsebene;Anmerkungen - Praun'scher Katalog und edit.;Bandz‰hlung - katalog¸bergreifend;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;4. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
215;213;II;(f) 6. rang, in Octav.;161;Espagne, Portugal;35;25;Hist. des revolutions de Portugal, par l'AbbÈ de Vertot. Par. 1720;voiez V. n. 22.;151189153;;1;151189153;M: Gi 293;M: Gi 293;Geschichte - Spanien und Portugal;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Histoire des rÈvolutions de Portugal;1711;Paris;Paris;4044660-8;Paris;tgn/7008038;RenÈ Aubert;Vertot;RenÈ-Aubert Vertot;Q1529470;male;100278736;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
216;214;II;(f) 6. rang, in Octav.;162;Espagne, Portugal;35;25;Relation de la cour de Portugal sous Don Pedre II. trad. de l'anglois. Amst. 1702.;;147594863;;1;147594863;M: Gi 276;M: Gi 276;Geschichte - Spanien und Portugal;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Relation De La Cour  De Portugal Sous D. Pedre II. A Present Regnant;1702;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;John;Colbatch;John Colbatch;Q6226584;male;1013708792;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
217;215;II;(f) 6. rang, in Octav.;163;Espagne, Portugal;35;25;Recherches hist. et genealog. des Grands d'Espagne, par. J. G. Imhof Amst. 1707.;;151372691;;1;151372691;M: Ff 74;M: Ff 74;Historische Hilfswissenschaften - Genealogie;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;Recherches Historiques Et Genealogiques Des Grands D'Espagne;1707;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Jacob Wilhelm;Imhof;Jacob Wilhelm Imhof;Q4200160;male;117129852;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
218;216;II;(f) 6. rang, in Octav.;164;Espagne, Portugal;35;25;Hist. du Connetable de Lune favori de Jean II. R. de Castille. Par. 1720.;;13875943X;;1;13875943X;M: Db 2875;;Biographien - Briefsammlungen, Gelegenheitsschriften;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;Histoire Du ConnËtable De Lune, Favori De Jean II. Roi de Castille & de Leon;1720;Paris;Paris;4044660-8;Paris;tgn/7008038;;;;;;;;;;;;;;;;;;;;;;;;¡Ålvaro;Luna;104089571;;;;;;;
219;217;II;(f) 6. rang, in Octav.;165;Espagne, Portugal;35;25;Le Politique D. Ferdinand le Catolique, trad. de l'Espagnol de B. Gracien, Par. 1732.;;151606897;;1;151606897;M: Gi 169;;Geschichte - Spanien und Portugal;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Le politique Dom Ferdinand le Catholique;1732;Paris;Paris;4044660-8;Paris;tgn/7008038;Baltasar;Graci·n y Morales;Baltasar Graci·n;Q360512;male;118696874;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
220;218;II;(f) 6. rang, in Octav.;166;Espagne, Portugal;35;25;La Politique de Ferdinand le Catollique, par Mr Varillas. Amst. 1688.;;138759634;;1;173168337;M: Gi 221 (1);;Geschichte - Spanien und Portugal;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;La Politique De Ferdinand Le Catholique Roy D'Espagne;1688;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Antoine;Varillas;Antoine Varillas;Q1100290;male;100047548;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
221;219;II;(f) 6. rang, in Octav.;167;Espagne, Portugal;35;25;Voiage d'Espagne ‡ Bender Par. 1721.;;149961154;;1;149961154;M: Gv 963;M: Gv 963;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;(Relation d'un) Voyage d'Espagne ‡ Bender contenant, un dÈtail circonstanciÈ de ce qu'il y a de plus remarquable ‡ Constantinople, et en d'autres endroits de l'empire ottoman ...;1721;Paris;Paris;4044660-8;Paris;tgn/7008038;Jules Alexis Bernard;Bellerive;Bellerive, Jules Alexis Bernard de;;male;1016395310;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
222;220;II;(f) 6. rang, in Octav.;168-171;Espagne, Portugal;35;25;Mem. et negociacions secretes de F. B. Comte d'Harrach ‡ la Cour de Madrid depuis la paix de Riswick, Haie 1720. T. I. II. III. IV.;;151616809;;3;151616817;M: Gi 176:1, M: Gi 177:1, Schulenb. B 68:1;M: Gi 177:1;Geschichte - Spanien und Portugal;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Montbail, Signatur Praun'scher Katalog - nur 1 Bd. T. 1-2;;Provenienz: Dumas de Montbail <Familie>;Acr;fre;MÈmoires et nÈgociations secrÈttes;1720;LaHaye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Ferdinand Bonaventura;Harrach;Ferdinand Bonaventura von Harrach;Q22915824;male;116484225;M‰nnlich;;;;;;;;;...;LaTorre;1055533079;Unbekannt;;;;;;;;;;;;;;
223;221;II;(f) 6. rang, in Octav.;172;Espagne, Portugal;35;25;Hist. du C.al Alberoni, par J. R. Haie 1719.;;23009791X;;1;23009791X;M: Db 40, M: Gi 105 (1);;Biographien - Briefsammlungen, Gelegenheitsschriften;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Histoire Du Cardinal Alberoni, Depuis sa Naissance jusqu'au commencement de l'annÈe 1719;1719;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Jean;Rousset de Missy;Jean Rousset de Missy;Q4400397;male;119145936;Unbekannt;;;;;;;;;#Comte'...;B***;;;;;;;Giulio;Alberoni;118644262;;;;;;;
224;222;II;(f) 6. rang, in Octav.;173-174;Espagne, Portugal;36;26;Hist. du C.al XimenÈs, par Flechier. Amst. 1693. T. I. II.;;150176945;;2;150176953;M: Gi 98;;Geschichte - Spanien und Portugal;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Histoire du Cardinal XimenÈs;1693;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Esprit;FlÈchier;Esprit FlÈchier;Q1368429;male;116597674;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
225;223;II;(f) 6. rang, in Octav.;175-176;Espagne, Portugal;36;26;Relation de l'invasion de l'Espagne par les Maures, Haie 1699. T. I. II.;;150986238;;2;150986246;M: Gi 268;M: Gi 268;Geschichte - Spanien und Portugal;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Relation historique et galante de l'invasion de l'Espagne par les Maures;1699;LaHaye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;;;;;;;;;;;;;;;;Nicolas;Baudot de Juilly;136914209;M‰nnlich;;;;;;;;;;;;;;
226;224;II;(f) 6. rang, in Octav.;177;Espagne, Portugal;36;26;Hist. de la cour de Madrid dÈs l'avenement du R. Philippe V. Col. 1719.;;15077771X;;1;15077771X;M: Gi 106, M: Gi 105 (2);;Geschichte - Spanien und Portugal;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;"Histoire Publique, Et SecrÈte De la Cour De Madrid; DÈs l'avÈnement du Roi Philippe V. ‡ la Couronne";1719;Cologne;Kˆln;4031483-2;Kˆln;tgn/1003171;Jean;Rousset de Missy;Jean Rousset de Missy;Q4400397;male;119145936;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
227;225;II;(f) 6. rang, in Octav.;178;Espagne, Portugal;36;26;Relation de ce qui l'est passÈ ‡ la disgrace du Comte Duc d'OlivarÈs. Par. 1650.;voiez cy devant n. 159;151096066;;1;151096066;A: 78.3 Pol., M: Db 3386;M: Db 3386;Biographien - Briefsammlungen, Gelegenheitsschriften;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Stark beschnittenes Ex, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aau;fre;Relation De Ce Qvi S'Est PassÈ En Espagne ¿ La Disgrace Dv Comte-Dvc D'Olivares;1650;Paris;Paris;4044660-8;Paris;tgn/7008038;Ferrante;Pallavicino;Ferrante Pallavicino;Q3743016;male;128458992;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
228;226;II;(f) 6. rang, in Octav.;179;Espagne, Portugal;36;26;Hist. de la paix conclue sur la frontiere entre la France et l'Espagne. 1659.;;535548273;;1;535548273;M: Gi 220;M: Gi 220;Geschichte - Spanien und Portugal;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Montbail;;Provenienz: Dumas de Montbail <Familie>;Aav;fre;Hitoire De La Paix Conclue Sur la Frontiere de France & d'Espagne entre les deux Couronnes, l'An M.DC.LIX.;1667;Cologne [fingiert];ohne Ort;;;;Galeazzo;Gualdo Priorato;Galeazzo Gualdo Priorato;Q960190;male;119396645;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
229;227;II;(f) 6. rang, in Octav.;180;Espagne, Portugal;36;26;Nouvelles Espagnolles, par Me d'Aunoi. Haie 1693.;;147157773;;1;Kein Ex. Vorhanden;;;;;;;;Acr;fre;Nouvelles espagnolles;1693;LaHaye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Marie Catherine Le Jumel de Barneville;Aulnoy;Madame d'Aulnoy;Q260006;female;118808788;Weiblich;;;;;;;;;;;;;;;;;;;;;;;;;;
230;228;II;(f) 6. rang, in Octav.;181;Espagne, Portugal;36;26;Memoires de la cour d'Espagne, par la MÈme. Amst. 1716.;;151688664;;1;251976416;M: Gi 10;;Geschichte - Spanien und Portugal;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;MÈmoires de la cour d'Espagne;1716;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Marie Catherine Le Jumel de Barneville;Aulnoy;Madame d'Aulnoy;Q260006;female;118808788;Weiblich;;;;;;;;;;;;;;;;;;;;;;;;;;
231;229;II;(f) 6. rang, in Octav.;182;Espagne, Portugal;36;26;Voiage d'Espagne curieux hist. et politique, 1655. [etc] 1666.;;150790716;;1;150790716;M: Gi 146;;Geschichte - Spanien und Portugal;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;Voyage D'Espagne, Curieux, Historique Et Politique, Fait en l'AnnÈe 1655;1666;[Amsterdam];Amsterdam;4001783-7;Amsterdam;tgn/7006952;;;;;;;;;;;;;;;;FranÁois;Aerssen;12584252X;Unbekannt;Antoine;Brunel;Unbekannt;128750529;;;;;;;;;;
232;230;II;(g) 7. rang, in octav.;183-185;Pologne ;36;26;Hist. des Rois de Pologne par Mr M++ Amst. 1733. T. I. II. III.;voiez l. 158. et cy devant n. 25.;151546746;;3;18728881X;M: Go 105;;Geschichte - Polen, Ungarn;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Histoire Des Rois De Pologne Et Du Gouvernement De Ce Royaume;1733;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Pierre;Massuet;Pierre Massuet;Q3386190;male;117557188;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
233;231;II;(g) 7. rang, in octav.;186;Russie;36;26;Memoires du regne de Catherine Imp. de la Russie. Haie 1728.;;150777728;;1;150777728;M: Gu 254;;Geschichte - Ruﬂland;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Memoires Du Regne De Catherine Imperatrice & Souveraine de toute la Russie &c. &c. &c.;1728;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Jean;Rousset de Missy;Jean Rousset de Missy;Q4400397;male;119145936;Unbekannt;;;;;;;;;;;;;;;;;Katharina;Russland, Zarin;;Iak.;Houbraken;;;;;
234;232;II;(g) 7. rang, in octav.;187;Russie;36;26;Mem. pour servir ‡ l'hist. de l'Empire Russien sous le regne de Pierre le grand. Haie 1725. T. 1.;;155897004;;1;155897004;M: Gu 231;;Geschichte - Ruﬂland;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;Memoires pour servir ‡ l'histoire de l'empire Russien, sous le regne de Pierre le Grand;1725;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Friedrich Christian;Weber;Weber, Friedrich Christian;;male;1055124322;Unbekannt;;;;;;;;;;;;;;;;;Peter;Russland, Zar;118592955;;;;;;;
235;233;II;(g) 7. rang, in octav.;188-191;Russie;37;27;Mem. du regne de Pierre le Grand, par le B. Iwan Nestesuranoi Haie 1725. T. I. II. III. IV.;;150777736;;4;212632418;M: Gu 448, Schulenb. B 116:1;;Geschichte - Ruﬂland;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Memoires Du Regne De Pierre Le Grand, Empereur de Russie, PÈre de la Patrie &c. &c. &c.;1725;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Jean;Rousset de Missy;Jean Rousset de Missy;Q4400397;male;119145936;Unbekannt;;;;;;;;;;;;;;;;;Peter;Russland, Zar;118592955;;;;;;;
236;234;II;(g) 7. rang, in octav.;192;Russie;37;27;La religion ancien?e et moderne des Moscovites. Col. 1698.;;535939833;;1;535939833;M: Tp 574, H: T 971.8∞ Helmst.;;Staatswissenschaften - Regionale und lokale Kirchengeschichten;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aav;fre;La Religion Ancienne Et Moderne Des Moscovites;1698;Cologne [fingiert];ohne Ort;;;;Michael von;Oppenbusch;Michael von Oppenbusch;Q60830624;male;121446794;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
237;235;II;(g) 7. rang, in octav.;193;Russie;37;27;Le Czar Demetrius, par Mr de la Rochelle. Haie 1716.;;151438242;;1;151438242;M: Gu 208;;Geschichte - Ruﬂland;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Le Czar Demetrius;1716;LaHaye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Jean;NÈe de La Rochelle;NÈe de La Rochelle, Jean;;male;12582677X;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
238;236;II;(g) 7. rang, in octav.;194-195;Turquie, Perse,;37;27;Hist. de Tamerlan, Emp. der Mogols et Conquerant de l'asie. Par. 1739. T. I. II.;;150711026;;2;241767520;M: Gv 162;M: Gv 162;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire De Tamerlan, Empereur Des Mogols Et Conquerant De L'Asie;1739;Paris;Paris;4044660-8;Paris;tgn/7008038;Jean-Baptiste;Margat de Tilly;Jean-Baptiste Margat de Tilly;Q50212214;male;1055358781;Unbekannt;;;;;;;;;Pierre;Brumoy;132900122;Unbekannt;;;;;;;;;;;;;;
239;237;II;(g) 7. rang, in octav.;196-198;Turquie, Perse,;37;27;Hist. de Empire Ottoman par Demetrius Cantimir, Pie de Moldavie trad. par Mr de Joncquieres. Par. 1743. T. I. II. III.;;150486502;;3;254642926;M: Gv 1016.1:1;M: Gv 1016.1:1;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;Histoire De L'Empire Othoman, O˘ Se Voyent Les Causes De Son Aggrandissement Et De Sa Decadence;1743;Paris;Paris;4044660-8;Paris;tgn/7008038;Dimitrie;Moldau, Woiwode;Dimitrie Cantemir;Q159933;male;118518879;M‰nnlich;;;;;;;;;...;JoncquiËres;142100714;M‰nnlich;;;;;;;;;;;;;;
240;238;II;(g) 7. rang, in octav.;199-205;Turquie, Perse,;37;27;Hist. de l'Empire Ottoman, trad. de l'Italien de Sagredo, par Mr Laurent. Amst. 1742. T. I. II. III. IV. V. VI. VII.;;150975953;;7;150975961;M: Gv 980.1:1;M: Gv 980.1:1;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire De L'Empire Ottoman;1732;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Giovanni;Sagredo;Giovanni Sagredo;Q3107337;male;129417777;M‰nnlich;;;;;;;;;...;Laurent;1055520988;Unbekannt;;;;;;;;;;;;;;
241;239;II;(g) 7. rang, in octav.;206;Turquie, Perse,;37;27;Hist. generale de la religion des Turcs, par Mr Baudier. Rouen 1641.;;150013760;;1;150013760;M: Hp 6;M: Hp 6;Kulturgeschichte - Einzelne Religionen;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Histoire gÈnÈrale de la religion des Turcs;1641;Rouen;Rouen;4050751-8;Rouen;tgn/7008929;Michel;Baudier;Michel Baudier;Q3088440;male;128982187;M‰nnlich;;;;;;;;;Jean;Berthelin;1037568575;M‰nnlich;;;;;;;;;;;;;;
242;240;II;(g) 7. rang, in octav.;207-209;Turquie, Perse,;37;27;Hist. des Grands Vizirs Mahomet et Achmet Coprogli. Par. 1679. T. I. II. III.;;151693234;;3;253259940;M: Gv 1007:1;M: Gv 1007:1;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire Des Grands Vizirs Mahomet Coprogli Pacha, Et Achmet Coprogli Pacha;1679;Paris;Paris;4044660-8;Paris;tgn/7008038;FranÁois;Chassepol;FranÁois de Chassepol;Q104029033;male;1055507388;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
243;241;II;(g) 7. rang, in octav.;210-212;Turquie, Perse,;37;27;Hist. de l'Empire Ottoman, trad. de l'Anglois de Mr le Chev. Ricaut. Haie 1729. T. I. II. III.;;151473153;;3;151473161;M: Gv 974.3:1 (1);M: Gv 974.3:1 (1);Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: NN / Tektur, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire De L'Empire Ottoman;1709;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;Paul;Rycaut;Paul Rycaut;Q3372144;male;118894803;M‰nnlich;;;;;;;;;Pierre;Briot;1026674085;M‰nnlich;;;;;;;;;;;;;;
244;242;II;(g) 7. rang, in octav.;213-214;Turquie, Perse,;37;27;Mem. du Sr de la Croix Secretaire de l'Ambassade de Constantinople. Par. 1684. T. I. II.;;151528519;;2;151528527;M: Lm 1937:1;M: Lm 1937:1;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;MÈmoires du sieur de La Croix;1684;Paris;Paris;4044660-8;Paris;tgn/7008038;FranÁois;PÈtis de la Croix;FranÁois PÈtis de la Croix;Q561423;male;117702269;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
245;243;II;(g) 7. rang, in octav.;215;Turquie, Perse,;38;28;Hist. generale du Serail et de la cour du grand Seigneur, par M. Baudier. Rouen 1642.;;150260385;;1;150260385;M: Gv 16, A: 437.6 Hist. (1);;Geschichte - Asien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Histoire gÈnÈrale du serrail, et de la cour du Grand Seigneur, Empereur des Turcs ... Ensemble l'Histoire de la Cour du Roy de la Chine;1642;Rouen;Rouen;4050751-8;Rouen;tgn/7008929;Michel;Baudier;Michel Baudier;Q3088440;male;128982187;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
246;244;II;(g) 7. rang, in octav.;216-217;Turquie, Perse,;38;28;Hist. de la derniere revolution de Perse. Haie 1728. T. I. II.;;151569142;;2;223469432;M: Gv 395:1, Schulenb. Gp 13;;Geschichte - Asien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Exlibris: Ex Bibliotheca LR Ducis Brunsvicensis Et Luneburgensis. - Nummer: 112;;Acus;fre;Histoire De La Derniere Revolution de Perse;1728;Paris;Paris;4044660-8;Paris;tgn/7008038;Judasz Tadeusz;Krusi≈Ñski;Judasz Tadeusz Krusinski;Q9354486;male;100614833;M‰nnlich;;;;;;;;;Jean-Antoine;Du Cerceau;121613763;Unbekannt;;;;;;;;;;;;;;
247;245;II;(g) 7. rang, in octav.;218;Turquie, Perse,;38;28;Hist. de la vie de Soliman II. Emp. des Turcs, par Ch. Ancillon. Rotterd. 1706.;;15072375X;;1;15072375X;M: Gv 984;;Geschichte - Asien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Histoire de la vie de Soliman Second Empereur des Turcs.;1706;Rotterdam;Rotterdam;4050739-7;Rotterdam Zuid;tgn/7268776;Charles;Ancillon;Charles Ancillon;Q213768;male;117660736;M‰nnlich;;;;;;;;;;;;;;;;;S¸leyman;Osmanisches Reich, Sultan;122838068;;;;;;;
248;246;II;(g) 7. rang, in octav.;219;Turquie, Perse,;38;28;Les guerres des Turcs avec la Pologne la Moscovie et la Hongrie par le Sr de la Croix. Haie 1689.;;151528500;;1;151528500;M: Gv 979, M: Gv 979a;M: Gv 979a;Geschichte - Asien;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aau;fre;Guerres Des Turcs Avec La Pologne, La Moscovie Et La Hongrie;1689;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;FranÁois;PÈtis de la Croix;FranÁois PÈtis de la Croix;Q561423;male;117702269;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
249;247;II;(g) 7. rang, in octav.;220;Turquie, Perse,;38;28;Etat present de la puissance Ottoman?e, par le Sr du Vignau, Haie 1688.;;15157104X;;1;15157104X;M: Gv 1028;;Geschichte - Asien;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;L' Etat Present de la Puissance Ottomane;1688;A La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;;Du Vignau;Du Vignau;;male;1145341586;M‰nnlich;;;;;;;;;Abraham;Hondt;1037542258;M‰nnlich;Jacob;Ellinckhuysen;Unbekannt;1037538579;;;;;;;;;;
