ID - Katalog Ende 18. Jh.;Imagez‰hlung - Digitalisat Katalog Ende 18. Jh.;Katalogseitenz‰hlung - Katalog Ende 18. Jh.;Schrankposition - Katalog Ende 18. Jh.;Titelreihenfolge - Katalog Ende 18. Jh.;Katalogeintrag Katalog Ende 18. Jh.;PPN-Nummer Manifestationsebene;Edit. Anmerkungen ;Bandz‰hlung;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
226;41;39;III. Arm. 1. Rang in Folio;11. Dez;Oeuvres de Pasquier continses recherches de la France ‡ Amsterdam 1723 T. I, 2.;150334052;;1;150334052;M: Lm 2∞  23;;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Les Oeuvres;1723;Amsterdam [fing.];ohne Ort;;;;…tienne;Pasquier;…tienne Pasquier;Q290040;male;118789813;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
227;41;39;III. Arm. 1. Rang in Folio;13-17;Monumens de la monarchie francoise par B. Montfaucon ‡ Paris 1723 T. I-5.;13860438X;;5;138604398;M: Gk 2∞ 58:1;M: Gk 2∞ 58:1;Geschichte - Frankreich;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband, Signatur Praun'scher Katalog III a 15-19;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acus;fre;Les Monumens De La Monarchie FranÁoise;1729;Paris;Paris;4044660-8;Paris;tgn/7008038;Bernard;Montfaucon;Bernard de Montfaucon;Q705306;male;100310923;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
228;41;39;III. Arm. 1. Rang in Folio;18-20;MÈmoires servant ‡ l' histoire des regnes de Francois II, Charle IX et Henrie III par Mich. De Castelnau ‡ Bruxelles 1731 T. I-3.;15058637X;;3;150586388;M: Lm 2∞ 7;;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Les MÈmoires de Castelnau;1731;Bruxelles;Br¸ssel;4008460-7;Bruxelles;tgn/7007868;Michel;Castelnau;Michel de Castelnau;Q599082;male;123813891;Unbekannt;;;;;;;;;Jean;Le Laboureur;123813719;Unbekannt;Jean;Godefroy;M‰nnlich;172099900;;;;;;;;;
229;41;39;III. Arm. 1. Rang in Folio;21-22;Histoire gÈnÈrale de la maison d' Auvergne par Baluze ‡ Paris 1708 T. I, 2.;138717508;;2;358810353;M: Gk 2∞  3;M: Gk 2∞ 3;Geschichte - Frankreich;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Montbail, Signatur Praun'scher Katalog III a 13-14;;Provenienz: Dumas de Montbail <Familie>;Acu;fre;Histoire Genealogique De La Maison D'Auvergne;1708;Paris;Paris;4044660-8;Paris;tgn/7008038;Etienne;Baluze;…tienne Baluze;Q289351;male;11944237X;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
230;41;39;2 RangÈe in Oktavo;01. Sep;MÈmoires du Marechal Duc de Richelieu 1790 T I-9.;140161325;;9;140161325;M: Lm 3427:1, M: Gk 1338:1;;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;MÈmoires Du MarÈchal Duc De Richelieu, Pair De France, Premier Genilhomme De La Chambre Du Roi, &c.;1790;Londres;London;4074335-4;London;tgn/7011781;Jean Louis Giraud;Soulavie;Jean-Louis Giraud-Soulavie;Q3166791;male;118947443;M‰nnlich;;;;;;;;;;;;;;;;;Louis FranÁois Armand DuPlessis;Richelieu;118788744;Ludwig XIV.;Frankreich, Kˆnig;118816829;Ludwig XV.;Frankreich, Kˆnig;118729438
231;41;39;III. Arm. 2. Rang in Oktavo;10. Nov;MÈmoires sur l' Ètat du clergÈ et de la noblesse de BrÈtagne par Toussaint de S. Lue. ¿ Paris 1691. T. 1, 2.;216088429;;2;21608847X;M: Gk 1124:1 (1);M: Gk 1124:1 (1);Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Memoires sur l'etat;1691;Paris;Paris;4044660-8;Paris;tgn/7008038;Toussaint;de Saint-Luc;Toussaint de Saint-Luc;;male;100644864;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
232;41;39;III. Arm. 2. Rang in Oktavo;12;AntiquitÈs et recherches desvilles, chateaux et places les plus remarquables de toute la France par A. du Chesne ‡ Paris 1609.;139134379;;1;180030140;M: Gk 540:1;M: Gk 540:1;Geschichte - Frankreich;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Montbail, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Acr;fre;Les antiquitez et recherches des villes, chasteaux, et places plus remarquables de toute la France;1609;Paris;Paris;4044660-8;Paris;tgn/7008038;AndrÈ;Du Chesne;AndrÈ Duchesne;Q518403;male;117657336;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
233;42;40;III Arm. 2 RangÈe in Oktavo - Histo- ire de France;13-15;Dictionnaire historique par l' AbbÈ Ladvocat. ¿ Paris 1777 T. I-3.;151529167;;3;151529175;M: Da 283;;Biographien - Biographien, alphabetisch;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Dictionnaire Historique Et Bibliographique Portatif;1777;Paris;Paris;4044660-8;Paris;tgn/7008038;Jean Baptiste;Ladvocat;Jean Baptiste Ladvocat;Q3164196;male;124586732;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
234;42;40;III. Arm. 2. Rang in Oktavo;16-17;Histoire de Suger AbbÈ de S. Denys, sous Louis le jeune ‡ Paris 1720 T I, 2.;138742529;;3;138742537;M: Db 4581:1;;Biographien - Briefsammlungen, Gelegenheitsschriften;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Histoire de Suger, abbÈ de S. Denis, ministre d'etat, et regent du royaume sous le regne de Louis le Jeune;1721;Paris;Paris;4044660-8;Paris;tgn/7008038;FranÁois Armand;Gervaise;FranÁois Armand Gervaise;Q5493158;male;100578969;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
235;42;40;III. Arm. 2. Rang in Oktavo;18-19;Histoire critique de l' Ètablissement des Bretons dans les Gaules ‡ Paris 1720 T. I, 2.;14088176X;;2;140881778;M: Gk 2037:1 ;M: Gk 2037:1 ;Geschichte - Frankreich;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Acr;fre;Histoire critique de l'etablissement des Bretons dans les Gaules, et de leur dÈpendance des Rois de France, & des Ducs de Normandie;1720;Paris;Paris;4044660-8;Paris;tgn/7008038;RenÈ Aubert;Vertot;RenÈ-Aubert Vertot;Q1529470;male;100278736;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
236;42;40;III. Arm. 2. Rang in Oktavo;20-25;MÈmoires pour servir ‡ l' histoire de Mme Maintenon ‡ Amsterd. 1755 T. I-6.;151383715;;6;151383723;M: Lm 1876a;M: Lm 1876a;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, Autogramm A. Beaumelle, brauner Einband;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acus;fre;MÈmoires pour Servir ‡ l'histoire De Madame De Maintenon et ‡ celle du SiÈcle passÈ;1755;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Laurent Angliviel;La Beaumelle;Laurent Angliviel de la Beaumelle;Q1393973;male;116098600;M‰nnlich;;;;;;;;;;;;;;;;;Maintenon;Madame de;118640798;;;;;;
237;42;40;III. Arm. 2. Rang in Oktavo;26-34;Lettres de Mme de Maintenon ‡ Amsterdam 1756 T. I-9.;151538530;;9;239283996;M: Lm 2339;M: Lm 2339;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acus;fre;Lettres De Madame De Maintenon;1756;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Madame de;Maintenon;FranÁoise d'AubignÈ, Marquise de Maintenon;Q230670;female;118640798;Weiblich;;;;;;;;;Laurent Angliviel;La Beaumelle;116098600;M‰nnlich;;;;;;;;;;;;;
238;42;40;III. Arm. 2. Rang in Oktavo;35-38;L' inquisition franÁoise ou l' histoire de la Bastille par Mr. C. de Renneville ‡ Amsterd. 1719;141513489;;5;228110955;M: Gk 1722:1;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Exlibris: Elisabetha Sophia Maria Verwittwete Herzoginn Zu Br. U. Lun., Provenienz: Elisabeth Sophie Marie <Braunschweig-Wolfenb¸ttel, Herzogin> / Exlibris / Wappen, Elisabeth Sophie Marie <Braunschweig-L¸neburg, Herzogin>;;Acu;fre;L'Inquisition FranÁoise Ou L'Histoire De La Bastille;1719;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Constantin;Renneville;RenÈ-Auguste-Constantin de Renneville;Q112435390;male;104069368;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
239;42;40;III. Arm. 2. Rang in Oktavo;39;SupplÈment ‡ l' histoire de l' inquisition franÁoise ou de la Bastille ‡ Amsterd. 1719;Fortsetzung K2 ID PC-355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;42;40;III Arm. 2 RangÈe in Oktavo - Histo- ire de France;40;Tableau de Paris ‡ Hambourg 1781.;14092339X;;1;184667461;M: Gk 1349;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Tableau de Paris;1781;A Hambourg;Hamburg;4023118-5;Hamburg;tgn/7179586;Louis SÈbastien;Mercier;Louis-SÈbastien Mercier;Q709670;male;118581007;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
241;43;41;III. Arm. 3. Rang in Quarto;01. Feb;Histoire litteraire de la ville de Lyon par le P. de Colonia ‡ Lyon 1728 T. I, 2.;147595657;;2;147595665;M: Ea 4∞ 6:1;;Wissenschaftskunde - Geschichte der Wissenschaften;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;Histoire Litteraire De La Ville De Lyon,;1728;Lyon;Lyon;4036770-8;Lyon;tgn/8728756;Dominique;Colonia;Dominique de Colonia;Q84561570;male;124188486;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
242;43;41;III. Arm. 3. Rang in Quarto;3;Catalogue des Ducs et ConnÈtables de France ‡ Paris 1555.;216218608;;1;216218608;M: Gk 4∞ 85;M: Gk 4∞ 85;Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Hs. Besitzvermerk auf Titels.: [...] de Baullon, 1609, Provenienz: NN / Autogramm / Tektur / Datum 15xx, Provenienz: Baullon, ... ^de^ / Autogramm / Datum 1609, Provenienz: Schuder, ... / Autogramm / Ort Paris / Datum 1680;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Catalogve des tresillvstres dvcz et connestables de France, depuis le roy Clotaire premier du nom, iusques ‡ ... Henry deuxieme;1555;Paris;Paris;4044660-8;Paris;tgn/7008038;Jean;Le FÈron;Jean Le FÈron;Q1100271;male;100187994;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
243;43;41;III. Arm. 3. Rang in Quarto;4;Tilliot, MÈmoires pour servir ‡ l' histoire de la fÍte des Faux qui se faisoit autrefois dans plusieurs Èglises ‡ Lausanne 1741.;147717612;;1;147717612;M: Hn 4∞ 14;M: Hn 4∞ 14;Kulturgeschichte - Spiele, Feste, Reit- und Fechtkunst;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aaus;fre;Memoires Pour Servir A L'Histoire De La FËte Des Foux, Qui se faisoit autrefois dans plusieurs Eglises;1741;Lausanne;Lausanne;4034750-3;Lausanne;tgn/7007299;Jean-Baptiste Lucotte;Du Tilliot;Jean-Baptiste Lucotte Du Tillot;Q3164243;male;100117686;M‰nnlich;;;;;;;;;Jean;Bouhier;11943170X;M‰nnlich;;;;;;;;;;;;;
244;43;41;III. Arm. 3. Rang in Quarto;5;Histoire de l' Abbaye et de la ville de Tournus ‡ Diion 1733.;211559903;;1;211559954;M: Gk 4∞ 70 (1);M: Gk 4∞ 70 (1);Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Nouvelle histoire de l'abbai??e royale et collegiale de Saint Filibert, et de la ville de Tournus, ...;1733;Dijon;Dijon;4012315-7;Dijon;tgn/7652621;Pierre;JuÈnin;JuÈnin, Pierre;;male;100975402;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
245;43;41;III. Arm. 3. Rang in Quarto;6;MÈmoires pour servir ‡ l' histoire de France et de Bourgogne sous les ragnes de Charles VI et Charles VII ‡ Paris 1729.;150065027;;1;150065027;M: Gk 4∞ 11;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;Memoires Pour Servir A L'Histoire De France Et De Bourgogne, Contenant Un Journal De Paris, Sous les Regnes de Charles VI. & de Charles VII.;1729;Paris;Paris;4044660-8;Paris;tgn/7008038;N.;Bois-Morel;Bois-Morel, N.;;unbekannt;1055529659;Unbekannt;;;;;;;;;Louis FranÁois Joseph;LaBarre;1055134336;Unbekannt;Julien-Michel;Gandouin;Unbekannt;1037599837;;;;;;;;;
246;43;41;III. Arm. 3. Rang in Quarto;7;AntiquitÈs de la nation et de la monarchie franÁoise par le Gendre ‡ Paris 1741.;138683719;;1;138683719;M: Gk 4∞ 87;M: Gk 4∞ 87;Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Des antiquitÈs de la nation et de la monarchie FranÁoise;1741;Paris;Paris;4044660-8;Paris;tgn/7008038;Gilbert Charles;Le Gendre;Gilbert-Charles Le Gendre;Q29381058;male;123641772;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
247;43;41;III. Arm. 3. Rang in Quarto;Aug 14;Histoire lettÈraire de la France par des religieux Benedictins de la congregation de S. Maur ‡ Paris 1733-42. T.;226063976;;7;226063984;M: Lm 4∞ 95:1,1;;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Bde 1,1 u. 1,2 zsgeb;;Acu;fre;Histoire LitÈraire De La France, O˘ L'On Traite De L'Origine Et Du ProgrÈs, De La Decadence & du rÈtablissement des Sciences parmi les Gaulois & parmi les FrancÃúois ...;1733;Paris;Paris;4044660-8;Paris;tgn/7008038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;43;41;III. Arm. 3. Rang in Quarto;15-21;Histoire de France par le P. Daniel Amst. 1720 T. I-7.;171983521;;7;171983963;M: Gk 4∞ 22:1;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;Histoire De France;1720;A Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Gabriel;Daniel;Gabriel Daniel;Q3093719;male;123800749;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
249;44;42;III. Arm. 3. Rang in Quarto;22-23;Histoire de la milice franÁoise par le mÈme ‡ Amsterd. 1724 T. I, 2.;144317001;;2;171987802;M: Jc 4∞ 7:1;;Militaria - Festungsbaukunst etc.;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Histoire De La Milice FranÁoise, Et des changemens qui s'y sont faits depuis l'Ètablissement de la Monarchie FranÁoise dans les Gaules, jusqu'‡ la fin du RÈgne De Louis Le Grand;1724;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Gabriel;Daniel;Gabriel Daniel;Q3093719;male;123800749;Unbekannt;;;;;;;;;;;;;;;;;Ludwig XIV.;Frankreich, Kˆnig;118816829;;;;;;
250;44;42;III. Arm. 3. Rang in Quarto;24;Plaidoyez de Nio. De Corberon et de M. Abel de S. Marthe. ¿ Paris 1707.;176513663;;1;176513663;M: Rf 4∞ 14;M: Rf 4∞ 14;Recht - Franzˆsisches Recht;Exemplar vorhanden;Provenienz Philippine Charlotte: Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Aar;fre;Plaidoyez de Messire Nicolas de Corberon, chevalier, seigneur de Tourvilliers;1707;Paris;Paris;4044660-8;Paris;tgn/7008038;Nicolas;Corberon;Corberon, Nicolas;;male;1055661077;Unbekannt;;;;;;;;;Abel;Sainte-Marthe;1055661069;Unbekannt;;;;;;;;;;;;;
251;44;42;III. Arm. 3. Rang in Quarto;25;MÈmoires de feu Mr le Duc de Guise ‡ Paris 1668.;138851530;;1;138851530;M: Gk 4∞ 66;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Les Memoires De Fev Monsievr Le Dvc De Gvise;1668;Paris;Paris;4044660-8;Paris;tgn/7008038;Henri II. ;Lorraine, Duc;Henry II of Lorraine, Duke of Guise;Q732579;male;135907861;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
252;44;42;III. Arm. 3. Rang in Quarto;26;DÈfense du Franc. Aleu de Provence ‡ Aix 1732.;186481411;;1;186481411;M: Gk 4∞ 55;M: Gk 4∞ 55;Geschichte - Frankreich;Exemplar vorhanden;Provenienz Philippine Charlotte: Signatur Praun'scher Katalog;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Aar;fre;Franc-Aleu de Provence;1732;Aix;Aix-en-Provence;4000860-5;Aix-en-Provence;tgn/8726960;Joseph Laurent;Gensollen;Gensollen, Joseph Laurent;;male;1055670823;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
253;44;42;III. Arm. 4. Rang in Oktavo;1;Lettres d' Henry IV Roi de France et de Mrs de Villeroy et de Puisieux ‡ M. Antoine le Feure de la Boderie ‡ Amst. 1733.;138770530;;1;183068130;M: Gk 871:1;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Lettres D'Henry IV. Roi De France, Et De Messieurs De Villeroy, Et De Puisieux, A Mr. Antoine Le Fevre De La Boderie, Ambassadeur de France en Angleterre, Depuis 1606. jusqu'en 1611.;1733;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Heinrich IV.;Frankreich, Kˆnig;Henry IV of France;Q936976;male;118548174;M‰nnlich;Nicolas de Neufville;Villeroi;124722423;M‰nnlich;Pierre Brulart;Puisieux;115763544X;Unbekannt;;;;;;;;;Antoine;LeFËvre de LaBoderie;1055516441;;;;;;
254;44;42;III. Arm. 4. Rang in Oktavo;2;Les origines de la ville de Caen. ¿ Rouen 1706.;195843134;;1;195843134;M: Gk 928;M: Gk 928;Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Les origines de la ville de Caen;1706;Rouen;Rouen;4050751-8;Rouen;tgn/7008929;Pierre Daniel;Huet;Pierre Daniel Huet;Q568497;male;119180936;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
255;44;42;III. Arm. 4. Rang in Oktavo;03. Jun;MÈmoires de Ph. De Comines conten. L' histoire de Louis XI et Charles VIII 1464-1498. augmentes par D. Godefroi ‡ Bruxelles 1706 T. I-4.;165169982;;4;165170220;M: Gk 390:1;M: Gk 390:1;Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;MÈmoires de messire Philippe de Comines, Seigneur d'Argenton;1706;Bruxelles;Br¸ssel;4008460-7;Bruxelles;tgn/7007868;Philippe;Commynes;Philippe de Commines;Q437423;male;118521721;M‰nnlich;;;;;;;;;Denis;Godefroy;136921833;M‰nnlich;;;;;Ludwig;Frankreich, Kˆnig;118574930;Karl VIII.;Frankreich, Kˆnig;118776762;;;
256;44;42;III. Arm. 4. Rang in Oktavo;7;Histoire de la ville de Nimes et de ses antiquites par le Sr. H. Gauttier ‡ Paris 1724.;140920773;;1;140920773;M: Gk 763;M: Gk 763;Geschichte - Frankreich;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog ;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;L'Histoire de la ville de Nismes et de ses antiquitez;1724;Paris;Paris;4044660-8;Paris;tgn/7008038;Hubert;Gautier;Hubert Gautier;Q466202;male;128681284;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
257;44;42;III. Arm. 4. Rang in Oktavo;8;Histoire du Card. De Tournon par Ch. Fleury ‡ Paris 1728.;138769273;;1;138769273;M: Db 4711;;Biographien - Briefsammlungen, Gelegenheitsschriften;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Histoire du cardinal de Tournon, ministre de France sous quatre de nos rois;1728;Paris;Paris;4044660-8;Paris;tgn/7008038;Charles;Fleury-Ternal;Fleury-Ternal, Charles;;male;1157635407;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
258;45;43;III. Arm. 4. Rang in Oktavo;9;L' hÈritiËre de Guienne, ou histoire d' Eleonore femme de Louis VII Roi de France et en suite de Henri II Roi Angleterre ‡ Rotterdam 1691.;13874257X;;1;13874257X;M: Gk 1105;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;L'Heritiere De Guyenne, Ou Histoire D'Eleonor, Fille de Guillaume, dernier Duc de Guyenne, Femme de Louis VII. Roy de France, & en-suite de Henri II. Roy d'Angleterre;1691;Rotterdam;Rotterdam;4050739-7;Rotterdam Zuid;tgn/7268776;Isaac;Larrey;Isaac de Larrey;Q3154791;male;123972469;M‰nnlich;;;;;;;;;Charles;Schomberg;;;;;;;Eleonore Herzogin von Aquitanien;;1158749120;;;;;;
259;45;43;III. Arm. 4. Rang in Oktavo;10. Nov;Histoire de France durant sept annÈes de paix du regne de Henri IV par P. Matthieu ‡ Paris T. I, 2.;220690367;;2;220690405;M: Gk 1307:1;M: Gk 1307:1;Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Histoire de France et des choses memorables, advenues aux provinces estrangeres durant sept annees de paix du Regne de Henry IIII. Roy de France et de Navarre;;Paris;Paris;4044660-8;Paris;tgn/7008038;Pierre;Matthieu;Pierre Matthieu;Q3386220;male;124623646;M‰nnlich;;;;;;;;;;;;;;;;;Heinrich;Frankreich, Kˆnig;118548174;;;;;;
260;45;43;III. Arm. 4. Rang in Oktavo;Dez 13;MÈmoires pour servir ‡ l' histoire de France depuis 15151611 ‡ Cologne 1719 T. I, 2.;216406595;;2;216406641;M: Gk 1155:1;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;MÈmoires pour servir ‡ l'histoire de France;1719;Cologne;Kˆln;4031483-2;Kˆln;tgn/1003171;Pierre;L'Estoile;Pierre de L'Estoile;Q2007428;male;12354548X;M‰nnlich;;;;;;;;;Jean;Godefroy;172099900;M‰nnlich;;;;;;;;;;;;;
261;45;43;III. Arm. 4. Rang in Oktavo;14-15;MÈmoires du Chevalier de Terlon et de ses nÈgociations dans les pays du Nord 1656-1661 ‡ Paris 1681 T. I, 2.;151816891;;2;151816905;M: Lm 3521:1;M: Lm 3521:1;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;MÈmoires du Chevalier de Terlon. Pour rendre compte au roy, de ses nÈgociations, depuis l'annÈe 1656 jusqu'en 1661;1681;Paris;Paris;4044660-8;Paris;tgn/7008038;Hugues;Terlon;Hugues Terlon;Q27863075;male;12344022X;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
