ID;Bibl. Eintrag;Schranknummer - Praun'scher Katalog;Rang - Praun'scher Katalog;Titelreihenfolge - Praun'scher Katalog;Systemtische Zuordnung - Praun'scher Katalog;Imagez‰hlung Digitalisat - Praun'scher Katalog;Katalogseitenz‰hlung- Praun'scher Katalog;Katalogeintrag Praun'scher Katalog;Erg‰nzungen zum Katalogeintrag - Praun'scher Katalog;ID - Katalog Ende 18. Jh.;Imagez‰hlung - Digitalisat Katalog Ende 18. Jh.;Katalogseitenz‰hlung - Katalog Ende 18. Jh.;Schrankposition - Katalog Ende 18. Jh.;Titelreihenfolge - Katalog Ende 18. Jh.;Katalogeintrag Katalog Ende 18. Jh.;PPN-Nummer Manifestationsebene;Anmerkungen - Praun'scher Katalog edit.;Bandz‰hlung - katalog¸bergreifend;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;4. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
333;331;III;(e) 5. rang, in octav.;142-143;Histoire de France;49;37;Hist. de Marguerite de Valois Reine de Navarre, soeur de FranÁois. I. Par. 1720. T. I. II.;;270;46;44;III. Arm. 4. Rang in Oktavo;29-30;Histoire de Marguerite de Valois reine de Navarre soeur de Francois I ‡ Paris 1720 T. I-4.;156749874;;2;156749912;M: Gk 1037:1;M: Gk 1037:1;Geschichte - Frankreich;Exemplar vorhanden;Provenienz Philippine Charlotte: Signatur Praun'scher Katalog ;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acr;fre;Histoire de Marguerite de Valois, reine de Navarre, soeur de Francois I.;1720;Paris;Paris;4044660-8;Paris;tgn/7008038;Charlotte-Rose;Caumont de la Force;Charlotte-Rose de Caumont de La Force;Q2960934;female;118638262;Weiblich;;;;;;;;;;;;;;;;;Margarete;Navarra, Kˆnigin;118577719;;;;;;;
334;332;III;(e) 5. rang, in octav.;144;Histoire de France;50;38;Vie du Vicomte de Turenne, par M. Du Buisson. Col. 1685.;;310;51;49;III. Arm. 6. Rang in Oktavo;23;La vie du vicomte de Turenne par M. du Buisson ‡ Col. 1685.;154156310;;1;154156310;H: T 873.8∞ Helmst., M: Db 4745;;;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;La Vie Du Vicomte De Turenne, MarÈchal General des Camps & ArmÈes du Roi, Colonel General de la Cavalerie Legere de France, & Gouverneur du haut & bas Limosin;1685;Cologne;Kˆln;4031483-2;Kˆln;tgn/1003171;Pierre Lermite;DuBuisson;DuBuisson, Pierre Lermite;;male;1157566871;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
335;333;III;(e) 5. rang, in octav.;145;Histoire de France;50;38;Mem. pour servir ‡ l'hist. de Louis de Bourbon Pce de CondÈ. Col. 1692.;;308;50;48;III. Arm. 6. Rang in Oktavo;21;MÈmoires pour servir ‡ l' histoire de Louis de Bourbon prince de CondÈ ‡ Cologne 1692.;138888922;;1;138888949;M: Db 912:1;;Biographien - Briefsammlungen, Gelegenheitsschriften;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Exlibris: Elisabetha Sophia Maria Verwittwete Herzoginn Zu Br. U. Lun., Provenienz: Elisabeth Sophie Marie <Braunschweig-Wolfenb¸ttel, Herzogin> / Exlibris / Wappen, Elisabeth Sophie Marie <Braunschweig-L¸neburg, Herzogin>;;Acu;fre;Memoires Pour Servir ¿ L'Histoire De Louis De Bourbon, Prince De CondÈ;1693;Cologne;Kˆln;4031483-2;Kˆln;tgn/1003171;Jean;Labrune;Jean de Labrune;Q59627226;male;129031097;Unbekannt;;;;;;;;;;;;;;;;;Louis;CondÈ;119292203;;;;;;;
336;334;III;(e) 5. rang, in octav.;146;Histoire de France;50;38;Hist. de Phil. Emanuel de Lorraine Duc de Mercoeur. Col. 1689.;;309;50;48;III. Arm. 6. Rang in Oktavo;22;L' histoire de Filipe Emanuel de Lorraine Duc de Mercoeur ‡ Cologne 1689.;138811873;;1;138811873;M: Db 3046, M: Gk 2023 (2);;Biographien - Briefsammlungen, Gelegenheitsschriften;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Exlibris: Elisabetha Sophia Maria Verwittwete Herzoginn Zu Br. U. Lun., Provenienz: Elisabeth Sophie Marie <Braunschweig-Wolfenb¸ttel, Herzogin> / Exlibris / Wappen, Elisabeth Sophie Marie <Braunschweig-L¸neburg, Herzogin>;;Aau;fre;L'Histoire De Filipe Emanuel De Loraine Duc De Mercoeur;1689;Cologne;Kˆln;4031483-2;Kˆln;tgn/1003171;Jean-Chrysostome;BruslÈ de Montpleinchamp;Jean-Chrysostome BruslÈ de Montpleinchamp;Q99198063;male;122855043;Unbekannt;;;;;;;;;;;;;;;;;Philippe Emmanuel de Lorraine;Mercoeur;;;;;;;;
337;335;III;(e) 5. rang, in octav.;147-148;Histoire de France;50;38;Hist. du ConnetablÈ de Lesdiguieres, par L. Videl, Par. 1666. T. I. II.;;306;50;48;III. Arm. 6. Rang in Oktavo;17-18;Histoire du connÍtable de Lesdiguieres par L. Videl ‡ Paris 1666 T. I, 2.;138807744;;2;183091183;M: Db 2720;M: Db 2720;Biographien - Briefsammlungen, Gelegenheitsschriften;Provenienzen bereits im OPAC nachgewiesen;;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;Histoire Dv Connestable De Lesdigvieres;1666;Paris;Paris;4044660-8;Paris;tgn/7008038;Louis;Videl;Louis Videl;Q98823871;male;1055261419;Unbekannt;;;;;;;;;;;;;;;;;FranÁois de Bonne;LesdiguiËres;118727745;;;;;;;
338;336;III;(e) 5. rang, in octav.;149-150;Histoire de France;50;38;Vie d'Anne Genevieve de Burbon Duchesse de Longueville. Amst. 1739. T. I. II.;;295;49;47;III. Arm. 5. Rang in Oktavo;37-38;La vÈritable vie d' Anne GeneviËve de Bourbon Duches se de Longueville ‡ Amsterd. 1739 T. I, 2.;15298576X;;2;152985808;M: Db 2825:1;;Biographien - Briefsammlungen, Gelegenheitsschriften;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;La veritable vie d' Anne Genevieve de Bourbon, Duchesse de Longueville;1739;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Joseph FranÁois Bourgoin;Villefore;Joseph-FranÁois Bourgoing de Villefore;Q3184254;male;100429319;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
339;337;III;(f) 6. rang, in Octav.;151-153;Histoire de France;50;38;Paris ancien et nouveaux par Le Maire, Par. 1685. T. I. II. III.;;268;46;44;III. Arm. 4. Rang in Oktavo;25-27;Paris ancien et nouveau par le Maire ‡ Paris 1685 T. I-3.;140923098;;3;140923101;M: Gk 1138:1;M: Gk 1138:1;Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Paris ancien et nouveau;1685;A Paris;Paris;4044660-8;Paris;tgn/7008038;C.;LeMaire;C. Lemaire;Q18533772;male;1157691846;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
340;338;III;(f) 6. rang, in Octav.;154;Histoire de France;50;38;Hist. des Dauphines FranÁios. Par. 1713.;;269;46;44;III. Arm. 4. Rang in Oktavo;28;Histoire de Dauphins franÁois ‡ Paris 1713.;140883142;;1;140883142;M: Gk 1995;M: Gk 1995;Geschichte - Frankreich;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Autogramm Montbail, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aar;fre;Histoire des dauphins FranÁois, et des princesses qui ont portÈ en France la qualitÈ de dauphines;1713;Paris;Paris;4044660-8;Paris;tgn/7008038;Anthelme;Tricaud;Anthelme Tricaud;Q106315121;male;1055248757;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
341;339;III;(f) 6. rang, in Octav.;155-157;Histoire de France;50;38;Etat de la France, Par. 1712. T. I. II. III.;;278;47;45;III. Arm. 5. Rang in Oktavo;1-3;L' Ètat de la France ‡ Paris 1712 T. I-3.;22610897X;;3;226109062;M: Gk 1590:1;M: Gk 1590:1;Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;L' Etat de la France ...;1712;Paris;Paris;4044660-8;Paris;tgn/7008038;Jean;Pinsson de la MartiniÈre;Pinsson de la MartiniËre, Jean;;male;136033288;M‰nnlich;;;;;;;;;Louis;Trabouillet;1157664768;Unbekannt;;;;;;;;;;;;;;
342;340;III;(f) 6. rang, in Octav.;158-163;Histoire de France;50;38;Mem. de la Ligue sous Henri III. et Henri IV. 1576-95 [etc] 1602. T. I. II. III. IV. V. VI.;;279;47;45;III. Arm. 5. Rang in Oktavo;4-9;MÈmoires de la Ligue sous Henri III et Henri IV 1576-1591 ‡ Paris 1602. T. I-6.;187001189;;6;187002053;M: Gk 812:1, A: 367.5 Hist.;M: Gk 812:1;Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acu;fre;Le ... Recueil, contenant L'Histoire Des Choses Plvs Memorables Avenves sous la Ligue;1593;[GenÈve];Genf;4020137-5;GenËve;tgn/7003746;Simon;Goulart;Simon Goulart;Q685610;male;124437087;M‰nnlich;;;;;;;;;;;;;;;;;Heinrich III.;Frankreich, Kˆnig;118773720;Heinrich IV.;Frankreich, Kˆnig;118548174;;;;
343;341;III;(f) 6. rang, in Octav.;164;Histoire de France;50;38;J. Faye, remontrances et harangues faites en la cour de Parlement de Paris aux ouvertures des plaidoiers. Par. 1600.;;781;124;122;VII. Arm. 2. Rang in Oktavo;10;Les remonstrances ou harangues faites en la cour de Parlement de Paris ‡ Paris 1600.;150736916;;1;150736916;M: Lm 1358;M: Lm 1358;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: NN / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Les Remonstrances ou harangues faictes en la Cour de Parlement de Paris aux ouvertures des plaidoyries;1600;Paris;Paris;4044660-8;Paris;tgn/7008038;Faye Jacques;;Faye Jacques;;male;1055553193;Unbekannt;;;;;;;;;Jean;Sponde;118798308;Unbekannt;;;;;;;;;;;;;;
344;342;III;(f) 6. rang, in Octav.;165-166;Histoire de France;51;39;Mem. de M. L++ conten. l' hist. des guerres civiles dÈs A. 1649.. 1729. T. I. II.;;285;48;46;III. Arm. 5. Rang in Oktavo;23-24;MÈmoires de M. Lxx cont. L' histoire des guerres civiles des annÈes 1649 sq. ¿ Paris 1729 T. I, 2.;138851646;;2;138851654;M: Lm 2185;M: Lm 2185;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Provenienz Philippine Charlotte: Supralibros Monogramm PC, brauner Einband;;Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> ;Acr;fre;MÈmoires De Monsieur L***, Conseiller D'…tat;1729;[S.l.];ohne Ort;;;;Pierre;Lenet;Pierre Lenet;Q3385929;male;1055264361;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
345;343;III;(f) 6. rang, in Octav.;167-168;Histoire de France;51;39;Mem. de M. Montchal Archev. de Toulouse, cont. des particularitÈs de la vie et du ministere du C.al de Richelieu, Roterd. 1718. T. I. II.;;286;48;46;III. Arm. 5. Rang in Oktavo;25-26;MÈmoires de M. Montchat archÈvÍque de Toulouse, cont. Des particularitÈs de la vie et du ministere du cardinal de Richelieu ‡ Rotterd. 1718 T. I, 2.;138921075;;2;138921091;M: Gk 1401;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Memoires de Mr. de Montchal, archeveque de Toulouse;1718;Rotterdam;Rotterdam;4050739-7;Rotterdam Zuid;tgn/7268776;Charles;Montchal;Charles de Montchal;Q2960646;male;137401493;Unbekannt;;;;;;;;;;;;;;;;;Armand Jean du Plessis;Richelieu;118600354;;;;;;;
346;344;III;(f) 6. rang, in Octav.;169;Histoire de France;51;39;Journal du C.al Duc de Richelieu durant le grand drage de la cour 1630. 31. [etc] 1649.;;287;48;46;III. Arm. 5. Rang in Oktavo;27;Journal du cardinal Duc de Richelieu durant le grand crage de la Cour 1630 sq. ¿ Paris 1649.;473573792;;1;473573792;M: Gk 1739;M: Gk 1739;Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;"Iovrnal De Monsievr Le Cardinal Dvc De Richeliev, Qu'il a fait durant le grand Orage de la Cour Ès AnnÈes 1630. & 1631. ; TirÈ des memoires Ècrits de sa main ; Avec diverses autres pieces remarquables, concernant les Affaires arrivÈes en son temps";1649;[S.l.];ohne Ort;;;;Armand Jean du Plessis;Richelieu;Armand-Jean du Plessis, duc de Richelieu;Q26702;male;118600354;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
347;345;III;(f) 6. rang, in Octav.;170;Histoire de France;51;39;Lettres du C.al Mazarin o˘ l'on voit le secret de la negociation de la paix des PirenÈes. Amst. 1690.;;288;48;46;III. Arm. 5. Rang in Oktavo;28;Lettres du cardinal Mazarin, ou l' on voit le secret de la nÈgociation de la paix des PyrenÈes. ‡ Amsterd. 1690.;138851786;;1;138851786;M: Gk 1318;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;"Lettres Du Cardinal Mazarin O˘ l'on voit Le Secret de la NÈgotiation de la Paix Des PirenÈes; & la Relation des Conferences qu'il a e¸es pour ce sujet avec D. Louis de Haro, Ministre d'Espagne";1690;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Jules;Mazarin;Cardinal Mazarin;Q166056;male;118579703;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
348;346;III;(f) 6. rang, in Octav.;171;Histoire de France;51;39;Instruction sur l'hist. de France et Romaine, par M. le Ragois Par. 1722.;;289;48;46;III. Arm. 5. Rang in Oktavo;29;Instruction sur l' histoire de France et Romaine par M. le Ragois ‡ Paris 1722.;150253796;;1;150253796;M: Lm 2235;M: Lm 2235;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Instruction sur l'histoire de France, et sur la Romaine;1722;Paris;Paris;4044660-8;Paris;tgn/7008038;Claude;Le Ragois;Claude Le Ragois;Q2977676;male;12957094X;Unbekannt;;;;;;;;;AndrË;Pralard;1055538763;Unbekannt;;;;;;;;;;;;;;
349;347;III;(f) 6. rang, in Octav.;172-173;Histoire de France;51;39;Hist. de S. Louis. Par. 1688. T. I. II.;;290;48;46;III. Arm. 5. Rang in Oktavo;30-31;Histoire  de  S.  Louis  ‡  Paris 1688 T. I, 2.;138743150;;2;18333762X;M: Gk 1018:1;M: Gk 1018:1;Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;Histoire De S. Louis;1688;Paris;Paris;4044660-8;Paris;tgn/7008038;Jean;Filleau de la Chaise;Jean Filleau de la Chaise;Q113809390;male;129748196;Unbekannt;;;;;;;;;;;;;;;;;Ludwig IX.;Frankreich, Kˆnig;118729411;;;;;;;
350;348;III;(f) 6. rang, in Octav.;174-175;Histoire de France;51;39;Vie du C.al d'Amboise, P.r Ministre de Louis XII. par L. le Gen. dre. Rouen. 1724. T. I. II.;;291;48;46;III. Arm. 5. Rang in Oktavo;32-33;Vie du cardinal d' Amboise prÈmier-ministre de Louis XII par L. le Gendre ‡ Rouen 1724 T. I, 2.;216308135;;2;216308178;M: Db 63;M: Db 63;Biographien - Briefsammlungen, Gelegenheitsschriften;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros Dumas [de Montbail oder de Montmartin?], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Vie Du Cardinal D'Amboise, Premier Ministre De Louis XII.;1724;Rouen;Rouen;4050751-8;Rouen;tgn/7008929;Louis;Le Gendre;Louis Le Gendre;Q6687648;male;128772700;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
351;349;III;(f) 6. rang, in Octav.;176;Histoire de France;51;39;Mem. de la vie de J. A. de Thou, Amst. 1713.;;292;48;46;III. Arm. 5. Rang in Oktavo;34;MÈmoires de la vie de J. A. de Thou ‡ Amsterdam 1713.;194277216;;1;194277216;M: Db 4682;M: Db 4682;Biographien - Briefsammlungen, Gelegenheitsschriften;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Memoires de la vie de Jacques-August de Thou, conseiller d'…tat et prÈsident a mortier au parlement de Paris. [Trad. du latin par Jacques George Le Petit et FrÈdÈric Costard];1713;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Jacques Auguste;Thou;Jacques Auguste de Thou;Q1312086;male;118802143;M‰nnlich;;;;;;;;;Jacques George;LePetit;105569238X;Unbekannt;FrÈdÈric;Costard;Unbekannt;1055692371;;;;;;;;;;
352;350;III;(f) 6. rang, in Octav.;177;Histoire de France;51;39;Hist. de Louis de Bourbon II. Prince de CondÈ. Col. 1693.;;293;49;47;III. Arm. 5. Rang in Oktavo;35;Histoire de Louis de Bourbon II Prince de CondÈ ‡ Col. 1693.;092141404;;1;092141404;M: Db 915, Xd 8∞ 1237;Xd 8∞ 1237;Biographien - Briefsammlungen, Gelegenheitsschriften;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Aav;fre;Histoire De Louis De Bourbon II. Du Nom, Prince De CondÈ, Premier Prince Du Sang;1693;Cologne [fingiert];Kˆln;4031483-2;Kˆln;tgn/1003171;Pierre;Coste;Pierre Coste;Q3384533;male;11900478X;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
353;351;III;(f) 6. rang, in Octav.;178;Histoire de France;52;40;S. Louis, ou la S. couron?e reconquise, poeme heroique, par Ph. Le Mogne. Par. 1658.;;294;49;47;III. Arm. 5. Rang in Oktavo;36;S. Louis, ou la s. couronne reconquise,  poÎme  heroique  par M. le Moyne ‡ Paris 1658.;151390401;;1;151390401;M: Lm 2172;M: Lm 2172;Literatur - Franzˆsische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Saint Louys;1658;Paris;Paris;4044660-8;Paris;tgn/7008038;Pierre;Le Moyne;Pierre Le Moyne;Q3385867;male;118571486;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
354;352;III;(f) 6. rang, in Octav.;179;Histoire de France;52;40;Hist. des Rois de France par M. de Marolles, AbbÈ de Villeloin Par. 1663.;;282;47;45;III. Arm. 5. Rang in Oktavo;18;Histoire des Rois de France par M. de Marolles, AbbÈ de Villeloin ‡ Paris 1663.;138797919;;1;138797919;M: Gk 1293;M: Gk 1293;Geschichte - Frankreich;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aar;fre;Histoire des roys de France et des choses plus memorables qui se sont passÈes sous leur rÈgne, depuis l'origine de cette monarchie jusques ‡ prÈsent;1663;Paris;Paris;4044660-8;Paris;tgn/7008038;Michel;Marolles;Michel de Marolles;Q673168;male;124924719;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
355;1500;III;(f) 6. rang, in Octav.;180-184;Histoire de France;52;40;L'Inquisition FranÁoise ou hist. de la Bastille, par C. de Renneville. Amst. 1719. T. I. II. III. IV. V.;;238;42;40;III. Arm. 2. Rang in Oktavo;35-38;L' inquisition franÁoise ou l' histoire de la Bastille par Mr. C. de Renneville ‡ Amsterd. 1719;141513489;;5;228110955;M: Gk 1722:1;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Exlibris: Elisabetha Sophia Maria Verwittwete Herzoginn Zu Br. U. Lun., Provenienz: Elisabeth Sophie Marie <Braunschweig-Wolfenb¸ttel, Herzogin> / Exlibris / Wappen, Elisabeth Sophie Marie <Braunschweig-L¸neburg, Herzogin>;;Acu;fre;L'Inquisition FranÁoise Ou L'Histoire De La Bastille;1719;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Constantin;Renneville;RenÈ-Auguste-Constantin de Renneville;Q112435390;male;104069368;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
356;;III;(f) 6. rang, in Octav.;180-184;Histoire de France;52;40;L'Inquisition FranÁoise ou hist. de la Bastille, par C. de Renneville. Amst. 1719. T. I. II. III. IV. V.;;239;42;40;III. Arm. 2. Rang in Oktavo;39;SupplÈment ‡ l' histoire de l' inquisition franÁoise ou de la Bastille ‡ Amsterd. 1719;Fortsetzung K2 ID PC-355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
357;354;III;(f) 6. rang, in Octav.;185;Histoire de France;52;40;Mem. de Mr Joly, conten. l'hist. de la regence d'Anne d'Autriche et des premieres annÈes de la Majorite de Louis XIV. jusqu'en 1666. Amst. 1718.;;305;50;48;III. Arm. 6. Rang in Oktavo;16;MÈmoires de M. Joly cont. L' histoire de la regence d' Anne d' Autriche et des premiËres annÈes de la majoritÈ de Louis XIV jusqu' en 1666 ‡ Amsterdam 1718.;242028802;;1;242030734;M: Lm 1817 (1), Schulenb. B 73 (1);;Literatur - Franzˆsische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acr;fre;Memoires de Mr. Joly Conseiller au Parlement, contenant l'histoire de la regence d'Anne d'Autriche et des premieres annÈes de la majoritÈ de Louis XIV. jusqu'en 1666 ...;1718;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;355;III;(g) 7. rang, in Octav.;186;Histoire de France;52;40;L'heritiere de Guien?e on Hist. d'Eleonor fem?e de Louis VII. Roi de France, et ensuite de Henri II. R. d. Angleterre, Roterd. 1691.;;258;45;43;III. Arm. 4. Rang in Oktavo;9;L' hÈritiËre de Guienne, ou histoire d' Eleonore femme de Louis VII Roi de France et en suite de Henri II Roi Angleterre ‡ Rotterdam 1691.;13874257X;;1;13874257X;M: Gk 1105;;Geschichte - Frankreich;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aau;fre;L'Heritiere De Guyenne, Ou Histoire D'Eleonor, Fille de Guillaume, dernier Duc de Guyenne, Femme de Louis VII. Roy de France, & en-suite de Henri II. Roy d'Angleterre;1691;Rotterdam;Rotterdam;4050739-7;Rotterdam Zuid;tgn/7268776;Isaac;Larrey;Isaac de Larrey;Q3154791;male;123972469;M‰nnlich;;;;;;;;;Charles;Schomberg;;;;;;;Eleonore Herzogin von Aquitanien;;1158749120;;;;;;;
